stop_id,pid,race
2745,1,Asian
2746,1,Hispanic/Latino/a
2747,1,White
2748,1,Black/African American
2749,1,Pacific Islander
2750,1,Black/African American
2751,1,Hispanic/Latino/a
2752,1,Hispanic/Latino/a
2753,1,Black/African American
2754,1,Hispanic/Latino/a
2755,1,Hispanic/Latino/a
2756,1,White
2757,1,Hispanic/Latino/a
2758,1,White
2759,1,White
2760,1,White
2761,1,Hispanic/Latino/a
2762,1,White
2763,1,Hispanic/Latino/a
2764,1,Black/African American
2764,2,Black/African American
2764,3,Black/African American
2765,1,Black/African American
2766,1,Hispanic/Latino/a
2767,1,Hispanic/Latino/a
2768,1,White
2769,1,White
2770,1,Asian
2771,1,Hispanic/Latino/a
2772,1,White
2773,1,White
2774,1,White
2775,1,Middle Eastern or South Asian
2776,1,White
2777,1,Hispanic/Latino/a
2778,1,Hispanic/Latino/a
2779,1,White
2780,1,Middle Eastern or South Asian
2781,1,White
2782,1,Hispanic/Latino/a
2783,1,Hispanic/Latino/a
2784,1,Black/African American
2785,1,White
2786,1,White
2787,1,White
2788,1,Black/African American
2789,1,Hispanic/Latino/a
2790,1,Hispanic/Latino/a
2791,1,White
2792,1,White
2792,2,Asian
2793,1,Hispanic/Latino/a
2794,1,Hispanic/Latino/a
2795,1,White
2796,1,White
2797,1,White
2798,1,White
2799,1,Hispanic/Latino/a
2800,1,White
2801,1,White
2802,1,White
2803,1,Hispanic/Latino/a
2804,1,Hispanic/Latino/a
2805,1,Hispanic/Latino/a
2806,1,Hispanic/Latino/a
2807,1,Black/African American
2808,1,Asian
2809,1,Black/African American
2810,1,White
2811,1,Black/African American
2811,2,White
2812,1,Hispanic/Latino/a
2813,1,Hispanic/Latino/a
2814,1,Black/African American
2815,1,White
2816,1,White
2817,1,White
2818,1,White
2819,1,Hispanic/Latino/a
2820,1,White
2821,1,Hispanic/Latino/a
2822,1,White
2823,1,Middle Eastern or South Asian
2824,1,White
2825,1,White
2826,1,White
2827,1,White
2828,1,White
2829,1,White
2830,1,White
2831,1,White
2832,1,White
2833,1,Hispanic/Latino/a
2834,1,Black/African American
2835,1,Hispanic/Latino/a
2836,1,Black/African American
2837,1,Middle Eastern or South Asian
2838,1,Middle Eastern or South Asian
2839,1,Hispanic/Latino/a
2840,1,White
2841,1,White
2842,1,Hispanic/Latino/a
2843,1,White
2844,1,Black/African American
2845,1,White
2846,1,White
2847,1,Asian
2848,1,Asian
2849,1,Asian
2850,1,White
2851,1,White
2852,1,White
2853,1,White
2854,1,Hispanic/Latino/a
2855,1,White
2856,1,White
2857,1,Black/African American
2858,1,Pacific Islander
2859,1,White
2860,1,White
2861,1,White
2862,1,White
2863,1,White
2864,1,Middle Eastern or South Asian
2865,1,White
2866,1,Middle Eastern or South Asian
2867,1,White
2868,1,Hispanic/Latino/a
2869,1,White
2870,1,White
2871,1,Asian
2872,1,White
2873,1,White
2874,1,White
2875,1,White
2876,1,White
2877,1,Hispanic/Latino/a
2878,1,White
2879,1,Hispanic/Latino/a
2880,1,Hispanic/Latino/a
2881,1,White
2882,1,White
2883,1,White
2884,1,White
2885,1,White
2886,1,Asian
2887,1,White
2888,1,Hispanic/Latino/a
2889,1,Hispanic/Latino/a
2890,1,White
2891,1,White
2892,1,Pacific Islander
2893,1,White
2894,1,White
2895,1,White
2896,1,White
2897,1,White
2898,1,White
2899,1,White
2900,1,White
2900,2,Black/African American
2901,1,Hispanic/Latino/a
2902,1,Middle Eastern or South Asian
2903,1,White
2904,1,White
2905,1,White
2906,1,Black/African American
2907,1,White
2908,1,White
2909,1,White
2910,1,Hispanic/Latino/a
2911,1,White
2912,1,Hispanic/Latino/a
2913,1,White
2914,1,White
2915,1,Hispanic/Latino/a
2916,1,Hispanic/Latino/a
2917,1,White
2918,1,Black/African American
2919,1,Hispanic/Latino/a
2920,1,Hispanic/Latino/a
2921,1,White
2922,1,Asian
2923,1,White
2924,1,Black/African American
2925,1,White
2926,1,White
2927,1,White
2927,2,White
2928,1,White
2928,2,Hispanic/Latino/a
2929,1,Hispanic/Latino/a
2930,1,Middle Eastern or South Asian
2931,1,Hispanic/Latino/a
2932,1,White
2933,1,White
